cell,gene
TL.apappap,cha-1
ABprappapp,nlp-7
ABprappapp,par-6
ABprappapp,gst-44
ABprappapp,rhgf-1
ABprappapp,cat-1
ABprappapp,spn-4
ABprappapp,mig-1
ABprappapp,psa-4
ABprappapp,nhr-22
ABprappapp,pry-1
ABprappapp,str-3
ABprappapp,jkk-1
ABprappapp,smp-2
ABprappapp,nhr-85
RMDR,gon-4
RMDR,gcy-37
RMDR,syg-1
RMDR,par-6
RMDR,ceh-48
RMDR,gst-44
RMDR,rhgf-1
RMDR,cat-1
RMDR,psa-4
RMDR,nhr-22
RMDR,erm-1
RMDR,mes-1
RMDR,akt-2
RMDR,pry-1
RMDR,str-3
RMDR,smp-2
RMDR,sek-1
RMDR,mrp-5
V5L.pa,alh-9
RMDL,gon-4
RMDL,gcy-37
RMDL,syg-1
RMDL,par-6
RMDL,ceh-48
RMDL,gst-44
RMDL,rhgf-1
RMDL,cat-1
RMDL,psa-4
RMDL,nhr-22
RMDL,erm-1
RMDL,mes-1
RMDL,akt-2
RMDL,pry-1
RMDL,str-3
RMDL,smp-2
RMDL,sek-1
RMDL,mrp-5
TR.apappa,gpa-13
TR.apappa,oga-1
TR.apappa,gar-2
TR.apappa,srg-13
TR.apappa,cha-1
V5L.pp,alh-9
Ca,tph-1
Ca,unc-86
Ca,nlp-7
Ca,unc-17
Ca,gst-44
Ca,rhgf-1
Ca,inx-4
Ca,psa-4
Ca,gcy-32
Ca,gcy-12
Ca,pry-1
Ca,str-3
Ca,unc-42
Ca,sca-1
Ca,nhr-85
Z1.paapaaa,F55G1.6
B.arpap,wrk-1
V5L.paa,alh-9
H1R,egl-19
H1R,osm-10
H1R,par-6
H1R,gst-44
H1R,rhgf-1
H1R,gly-2
H1R,cat-1
H1R,psa-4
H1R,nhr-22
H1R,nud-2
H1R,pry-1
H1R,str-3
H1R,sel-8
H1R,B0285.6
H1R,smp-2
H1R,C09F9.3
H1R,unc-64
ABprppaapp,nlp-7
ABprppaapp,par-6
ABprppaapp,gst-44
ABprppaapp,rhgf-1
ABprppaapp,cat-1
ABprppaapp,spn-4
ABprppaapp,mig-1
ABprppaapp,psa-4
ABprppaapp,nhr-22
ABprppaapp,pry-1
ABprppaapp,str-3
ABprppaapp,jkk-1
ABprppaapp,smp-2
Z1.paapaap,F55G1.6
H1L,egl-19
H1L,osm-10
H1L,par-6
H1L,gst-44
H1L,rhgf-1
H1L,gly-2
H1L,cat-1
H1L,psa-4
H1L,nhr-22
H1L,nud-2
H1L,pry-1
H1L,str-3
H1L,sel-8
H1L,B0285.6
H1L,smp-2
H1L,C09F9.3
H1L,unc-64
V5L.pppapp,alh-9
B.arpaa,wrk-1
Z4,dnc-1
Z4,gcy-7
Z4,par-6
Z4,gst-44
Z4,rhgf-1
Z4,cat-1
Z4,ahr-1
Z4,psa-4
Z4,nhr-22
Z4,ceh-7
Z4,egl-44
Z4,pry-1
Z4,str-3
Z4,tbx-8
Z4,fkh-6
Z4,Y18D10A.23
Z4,unc-97
Z4,mex-1
Z4,smp-2
Z4,crt-1
Z4,F41C3.8
ABplaaapap,nlp-7
ABplaaapap,par-6
ABplaaapap,gst-44
ABplaaapap,rhgf-1
ABplaaapap,cat-1
ABplaaapap,spn-4
ABplaaapap,mig-1
ABplaaapap,psa-4
ABplaaapap,nhr-22
ABplaaapap,pry-1
ABplaaapap,str-3
ABplaaapap,jkk-1
ABplaaapap,smp-2
ABprppaapa,nlp-7
ABprppaapa,par-6
ABprppaapa,gst-44
ABprppaapa,rhgf-1
ABprppaapa,cat-1
ABprppaapa,spn-4
ABprppaapa,mig-1
ABprppaapa,psa-4
ABprppaapa,nhr-22
ABprppaapa,pry-1
ABprppaapa,str-3
ABprppaapa,jkk-1
ABprppaapa,smp-2
Z1,dnc-1
Z1,gcy-7
Z1,par-6
Z1,gst-44
Z1,rhgf-1
Z1,cat-1
Z1,ahr-1
Z1,psa-4
Z1,nhr-22
Z1,ceh-7
Z1,egl-44
Z1,pry-1
Z1,str-3
Z1,tbx-8
Z1,fkh-6
Z1,Y18D10A.23
Z1,unc-97
Z1,mex-1
Z1,smp-2
Z1,crt-1
Z1,F41C3.8
Z2,med-1
Z2,glr-1
Z2,apx-1
Z2,pcs-1
Z2,gcy-7
Z2,par-6
Z2,unc-130
Z2,gst-44
Z2,rhgf-1
Z2,cat-1
Z2,inx-4
Z2,psa-4
Z2,nhr-22
Z2,gpa-9
Z2,npr-1
Z2,ins-23
Z2,flr-4
Z2,egl-2
Z2,mex-3
Z2,mdl-1
Z2,cgh-1
Z2,dbl-1
Z2,pry-1
Z2,str-3
Z2,str-1
Z2,nos-3
Z2,grd-1
Z2,acy-1
Z2,ins-3
Z2,ceh-6
Z2,tax-2
Z2,cle-1
Z2,smp-2
Z2,vab-15
Z2,unc-76
Z3,med-1
Z3,glr-1
Z3,apx-1
Z3,pcs-1
Z3,gcy-7
Z3,par-6
Z3,unc-130
Z3,gst-44
Z3,rhgf-1
Z3,cat-1
Z3,inx-4
Z3,psa-4
Z3,nhr-22
Z3,gpa-9
Z3,npr-1
Z3,ins-23
Z3,flr-4
Z3,egl-2
Z3,mex-3
Z3,mdl-1
Z3,cgh-1
Z3,dbl-1
Z3,pry-1
Z3,str-3
Z3,str-1
Z3,nos-3
Z3,grd-1
Z3,acy-1
Z3,ins-3
Z3,ceh-6
Z3,tax-2
Z3,cle-1
Z3,smp-2
Z3,vab-15
Z3,unc-76
MSaapaapap,par-6
MSaapaapap,gst-44
MSaapaapap,rhgf-1
MSaapaapap,cat-1
MSaapaapap,spn-4
MSaapaapap,mig-1
MSaapaapap,psa-4
MSaapaapap,pry-1
MSaapaapap,str-3
MSaapaapap,smp-2
ABplpaaa,nlp-7
ABplpaaa,par-6
ABplpaaa,gst-44
ABplpaaa,rhgf-1
ABplpaaa,cat-1
ABplpaaa,spn-4
ABplpaaa,mig-1
ABplpaaa,psa-4
ABplpaaa,pry-1
ABplpaaa,str-3
ABplpaaa,acy-1
ABplpaaa,jkk-1
ABplpaaa,smp-2
ABplpaaa,crt-1
MSaapapp,par-6
MSaapapp,gst-44
MSaapapp,rhgf-1
MSaapapp,cat-1
MSaapapp,spn-4
MSaapapp,mig-1
MSaapapp,psa-4
MSaapapp,nhr-22
MSaapapp,pry-1
MSaapapp,str-3
MSaapapp,smp-2
Cappaap,nlp-7
Cappaap,par-6
Cappaap,gst-44
Cappaap,rhgf-1
Cappaap,cat-1
Cappaap,psa-4
Cappaap,nhr-22
Cappaap,mig-13
Cappaap,pry-1
Cappaap,str-3
Cappaap,ric-19
Cappaap,grd-6
Cappaap,smp-2
MSaapapa,par-6
MSaapapa,gst-44
MSaapapa,rhgf-1
MSaapapa,cat-1
MSaapapa,spn-4
MSaapapa,mig-1
MSaapapa,psa-4
MSaapapa,nhr-22
MSaapapa,pry-1
MSaapapa,str-3
MSaapapa,smp-2
ABplpaap,nlp-7
ABplpaap,par-6
ABplpaap,gst-44
ABplpaap,rhgf-1
ABplpaap,cat-1
ABplpaap,spn-4
ABplpaap,mig-1
ABplpaap,psa-4
ABplpaap,pry-1
ABplpaap,str-3
ABplpaap,acy-1
ABplpaap,jkk-1
ABplpaap,smp-2
ABplpaap,crt-1
Z1.pappapaa,exp-1
ABalapaap,nlp-7
ABalapaap,par-6
ABalapaap,gst-44
ABalapaap,rhgf-1
ABalapaap,cat-1
ABalapaap,spn-4
ABalapaap,mig-1
ABalapaap,psa-4
ABalapaap,pry-1
ABalapaap,str-3
ABalapaap,acy-1
ABalapaap,smp-2
V5R.paapp,alh-9
int2V,vab-7
int2V,nlp-7
int2V,par-6
int2V,gst-44
int2V,rhgf-1
int2V,cat-1
int2V,psa-4
int2V,nhr-22
int2V,pha-1
int2V,pry-1
int2V,str-3
int2V,smp-2
int2V,F42A10.3
int2V,nhr-23
AVHL,unc-103
AVHL,gcy-37
AVHL,gcy-8
AVHL,flp-1
AVHL,lev-11
AVHL,par-6
AVHL,gst-44
AVHL,rhgf-1
AVHL,cat-1
AVHL,psa-4
AVHL,nhr-22
AVHL,pry-1
AVHL,str-3
AVHL,unc-53
AVHL,smp-2
AVHL,klp-18
ABprpappa,nlp-7
ABprpappa,par-6
ABprpappa,gst-44
ABprpappa,rhgf-1
ABprpappa,cat-1
ABprpappa,spn-4
ABprpappa,mig-1
ABprpappa,psa-4
ABprpappa,pry-1
ABprpappa,str-3
ABprpappa,acy-1
ABprpappa,jkk-1
ABprpappa,smp-2
ABprpappa,crt-1
ABalapaaa,nlp-7
ABalapaaa,par-6
ABalapaaa,gst-44
ABalapaaa,rhgf-1
ABalapaaa,cat-1
ABalapaaa,spn-4
ABalapaaa,mig-1
ABalapaaa,psa-4
ABalapaaa,pry-1
ABalapaaa,str-3
ABalapaaa,acy-1
ABalapaaa,smp-2
AVHR,unc-103
AVHR,gcy-37
AVHR,gcy-8
AVHR,flp-1
AVHR,lev-11
AVHR,par-6
AVHR,gst-44
AVHR,rhgf-1
AVHR,cat-1
AVHR,psa-4
AVHR,nhr-22
AVHR,pry-1
AVHR,str-3
AVHR,unc-53
AVHR,smp-2
AVHR,klp-18
int4D,vab-7
int4D,nlp-7
int4D,par-6
int4D,gst-44
int4D,rhgf-1
int4D,cat-1
int4D,psa-4
int4D,nhr-22
int4D,pha-1
int4D,pry-1
int4D,str-3
int4D,smp-2
int4D,F42A10.3
int4D,nhr-23
int2D,vab-7
int2D,nlp-7
int2D,par-6
int2D,gst-44
int2D,rhgf-1
int2D,cat-1
int2D,psa-4
int2D,nhr-22
int2D,pha-1
int2D,pry-1
int2D,str-3
int2D,smp-2
int2D,F42A10.3
int2D,nhr-23
ABprpappp,nlp-7
ABprpappp,par-6
ABprpappp,gst-44
ABprpappp,rhgf-1
ABprpappp,cat-1
ABprpappp,spn-4
ABprpappp,mig-1
ABprpappp,psa-4
ABprpappp,pry-1
ABprpappp,str-3
ABprpappp,acy-1
ABprpappp,jkk-1
ABprpappp,smp-2
ABprpappp,crt-1
ABplapaaaap,nlp-7
ABplapaaaap,par-6
ABplapaaaap,gst-44
ABplapaaaap,rhgf-1
ABplapaaaap,cat-1
ABplapaaaap,spn-4
ABplapaaaap,mig-1
ABplapaaaap,psa-4
ABplapaaaap,nhr-22
ABplapaaaap,pry-1
ABplapaaaap,str-3
ABplapaaaap,jkk-1
ABplapaaaap,smp-2
OLLL,gcy-8
OLLL,par-6
OLLL,gst-44
OLLL,rhgf-1
OLLL,osm-6
OLLL,glr-8
OLLL,R09A8.5
OLLL,psa-4
OLLL,erm-1
OLLL,inx-3
OLLL,hid-1
OLLL,snt-1
OLLL,ser-4
OLLL,gld-1
OLLL,nhr-57
OLLL,nid-1
OLLL,sra-13
OLLL,pry-1
OLLL,str-3
OLLL,wrm-1
OLLL,nlp-8
OLLL,tax-6
OLLL,gpa-5
MSaaapap,par-6
MSaaapap,gst-44
MSaaapap,rhgf-1
MSaaapap,cat-1
MSaaapap,spn-4
MSaaapap,mig-1
MSaaapap,psa-4
MSaaapap,nhr-22
MSaaapap,pry-1
MSaaapap,str-3
MSaaapap,smp-2
ABplapppapp,nlp-7
ABplapppapp,par-6
ABplapppapp,gst-44
ABplapppapp,rhgf-1
ABplapppapp,cat-1
ABplapppapp,spn-4
ABplapppapp,mig-1
ABplapppapp,psa-4
ABplapppapp,nhr-22
ABplapppapp,pry-1
ABplapppapp,str-3
ABplapppapp,zmp-1
ABplapppapp,jkk-1
ABplapppapp,smp-2
