cell,gene
SMDVR,gcy-5
SMDVR,tbx-2
SMDVR,pry-1
SMDVR,str-3
SMDVR,smp-2
SMDVR,mrp-5
ABprpapaa,nlp-7
ABprpapaa,par-6
ABprpapaa,gst-44
ABprpapaa,rhgf-1
ABprpapaa,cat-1
ABprpapaa,spn-4
ABprpapaa,mig-1
ABprpapaa,psa-4
ABprpapaa,pry-1
ABprpapaa,str-3
ABprpapaa,acy-1
ABprpapaa,jkk-1
ABprpapaa,smp-2
ABprpapaa,crt-1
SMDVL,mec-7
SMDVL,gon-4
SMDVL,gcy-37
SMDVL,wee-1.1
SMDVL,inx-13
SMDVL,lev-11
SMDVL,par-6
SMDVL,ceh-48
SMDVL,gst-44
SMDVL,rhgf-1
SMDVL,cat-1
SMDVL,psa-4
SMDVL,nhr-22
SMDVL,erm-1
SMDVL,mes-1
SMDVL,gcy-5
SMDVL,tbx-2
SMDVL,pry-1
SMDVL,str-3
SMDVL,smp-2
SMDVL,mrp-5
ABalaapapa,nlp-7
ABalaapapa,par-6
ABalaapapa,gst-44
ABalaapapa,rhgf-1
ABalaapapa,cat-1
ABalaapapa,spn-4
ABalaapapa,mig-1
ABalaapapa,psa-4
ABalaapapa,pry-1
ABalaapapa,str-3
ABalaapapa,smp-2
V6L.ppp,sma-9
V6L.ppp,alh-9
CEPshVL,par-6
CEPshVL,gst-44
CEPshVL,rhgf-1
CEPshVL,cat-1
CEPshVL,psa-4
CEPshVL,nhr-22
CEPshVL,pry-1
CEPshVL,str-3
CEPshVL,smp-2
TL.appapap,oga-1
TL.appapap,gar-2
TL.appapap,srg-13
TL.appapap,cha-1
MSppappa,par-6
MSppappa,gst-44
MSppappa,rhgf-1
MSppappa,cat-1
MSppappa,spn-4
MSppappa,mig-1
MSppappa,psa-4
MSppappa,nhr-22
MSppappa,pry-1
MSppappa,str-3
MSppappa,ric-19
MSppappa,smp-2
Z4.paappa,F55G1.6
TL.appapaa,oga-1
TL.appapaa,gar-2
TL.appapaa,srg-13
TL.appapaa,cha-1
M3R',lin-35
M3R',par-6
M3R',gst-44
M3R',rhgf-1
M3R',cat-1
M3R',set-2
M3R',psa-4
M3R',nhr-22
M3R',inx-3
M3R',ins-5
M3R',pry-1
M3R',str-3
M3R',smp-2
M3R',eat-16
M3R',hen-1
CEPshVR,par-6
CEPshVR,gst-44
CEPshVR,rhgf-1
CEPshVR,cat-1
CEPshVR,psa-4
CEPshVR,nhr-22
CEPshVR,pry-1
CEPshVR,str-3
CEPshVR,smp-2
Z4.paappp,F55G1.6
M.vlpaaa,odr-2
M.vlpaaa,unc-86
M.vlpaaa,ceh-7
M.vlpaaa,daf-11
M.vlpaaa,tbx-8
M.vlpaaa,Y18D10A.23
M.vlpaaa,nfm-1
M.vlpaaa,tlp-1
H2R.p,B0285.6
M.vlpaaapp,myo-3
M.vlpaaapp,odr-2
M.vlpaaapp,ceh-7
M.vlpaaapp,daf-11
M.vlpaaapp,tbx-8
M.vlpaaapp,Y18D10A.23
M.vlpaaapp,nfm-1
M.vlpaaapp,tlp-1
H2R.a,B0285.6
R7stL,clh-4
R7stL,hcp-1
R7stL,daf-7
R7stL,fax-1
R7stL,unc-5
R7stL,mec-10
R7stL,daf-3
R7stL,avr-15
R7stL,lin-3
R7stL,ooc-5
R7stL,exc-7
R7stL,del-1
R7stL,Y46G5A.4
R7stL,rpl-5
R7stL,ocr-1
R7stL,C32B5.6
R7stL,gsp-4
R7stL,rpa-2
SAADR,gcy-37
SAADR,wee-1.1
SAADR,par-6
SAADR,gst-44
SAADR,rhgf-1
SAADR,cat-1
SAADR,psa-4
SAADR,nhr-22
SAADR,pry-1
SAADR,str-3
SAADR,smp-2
SMBVL,mec-7
SMBVL,par-6
SMBVL,gst-44
SMBVL,rhgf-1
SMBVL,cat-1
SMBVL,psa-4
SMBVL,nhr-22
SMBVL,pry-1
SMBVL,str-3
SMBVL,smp-2
ABplpapapp,nlp-7
ABplpapapp,par-6
ABplpapapp,gst-44
ABplpapapp,rhgf-1
ABplpapapp,cat-1
ABplpapapp,spn-4
ABplpapapp,mig-1
ABplpapapp,psa-4
ABplpapapp,nhr-22
ABplpapapp,pry-1
ABplpapapp,str-3
ABplpapapp,jkk-1
ABplpapapp,smp-2
ABplpapapp,nhr-85
AVL,gpa-11
AVL,lin-25
AVL,par-6
AVL,gst-44
AVL,rhgf-1
AVL,mec-3
AVL,cat-1
AVL,psa-4
AVL,nhr-22
AVL,clh-3
AVL,lin-48
AVL,ins-5
AVL,F01F1.12
AVL,pry-1
AVL,str-3
AVL,nlp-24
AVL,nlp-21
AVL,smp-2
AVL,hen-1
AVM,gcy-35
AVM,tag-312
AVM,Y70G10A.3
AVM,gpa-10
AVM,pgp-3
AVM,unc-86
AVM,unc-25
AVM,srg-2
AVM,kal-1
AVM,ncs-1
AVM,erm-1
AVM,inx-3
AVM,snt-1
AVM,nos-2
AVM,unc-40
AVM,unc-14
AVM,lin-32
AVM,pes-22
AVM,abf-2
AVM,mec-9
AVM,pig-1
AVM,lag-2
AVM,acy-2
AVM,srb-6
AVM,sra-9
AVM,tax-4
AVM,tol-1
AVM,glt-6
SMBVR,mec-7
SMBVR,par-6
SMBVR,gst-44
SMBVR,rhgf-1
SMBVR,cat-1
SMBVR,psa-4
SMBVR,nhr-22
SMBVR,pry-1
SMBVR,str-3
SMBVR,smp-2
R8stL,clh-4
R8stL,hcp-1
R8stL,daf-7
R8stL,fax-1
R8stL,unc-5
R8stL,mec-10
R8stL,daf-3
R8stL,avr-15
R8stL,ooc-5
R8stL,exc-7
R8stL,del-1
R8stL,Y46G5A.4
R8stL,rpl-5
R8stL,ocr-1
R8stL,C32B5.6
R8stL,gsp-4
R8stL,rpa-2
R8stL,nsy-1
ABarappaap,nlp-7
ABarappaap,par-6
ABarappaap,gst-44
ABarappaap,rhgf-1
ABarappaap,cat-1
ABarappaap,spn-4
ABarappaap,mig-1
ABarappaap,psa-4
ABarappaap,nhr-22
ABarappaap,pry-1
ABarappaap,str-3
ABarappaap,smp-2
ABplpapapa,nlp-7
ABplpapapa,par-6
ABplpapapa,gst-44
ABplpapapa,rhgf-1
ABplpapapa,cat-1
ABplpapapa,spn-4
ABplpapapa,mig-1
ABplpapapa,psa-4
ABplpapapa,pry-1
ABplpapapa,str-3
ABplpapapa,jkk-1
ABplpapapa,smp-2
ABplpapapa,nhr-85
M.vlpaaapa,myo-3
M.vlpaaapa,odr-2
M.vlpaaapa,ceh-7
M.vlpaaapa,daf-11
M.vlpaaapa,tbx-8
M.vlpaaapa,Y18D10A.23
M.vlpaaapa,nfm-1
M.vlpaaapa,tlp-1
ABplppppa,nlp-7
ABplppppa,par-6
ABplppppa,gst-44
ABplppppa,rhgf-1
ABplppppa,cat-1
ABplppppa,spn-4
ABplppppa,mig-1
ABplppppa,psa-4
ABplppppa,nud-2
ABplppppa,pry-1
ABplppppa,str-3
ABplppppa,acy-1
ABplppppa,jkk-1
ABplppppa,smp-2
CEPshDL,par-6
CEPshDL,gst-44
CEPshDL,rhgf-1
CEPshDL,cat-1
CEPshDL,psa-4
CEPshDL,nhr-22
CEPshDL,pry-1
CEPshDL,str-3
CEPshDL,smp-2
MSppappp,par-6
MSppappp,gst-44
MSppappp,rhgf-1
MSppappp,cat-1
MSppappp,spn-4
MSppappp,mig-1
MSppappp,psa-4
MSppappp,nhr-22
MSppappp,pry-1
MSppappp,str-3
MSppappp,ric-19
MSppappp,smp-2
QL.p,par-6
QL.p,ceh-7
QL.p,unc-14
QL.p,nlp-27
QL.p,alh-9
QL.p,psa-1
QL.p,Y18D10A.23
QL.p,tcl-2
QL.p,ceh-43
CEPshDR,par-6
CEPshDR,gst-44
CEPshDR,rhgf-1
CEPshDR,cat-1
CEPshDR,psa-4
CEPshDR,nhr-22
CEPshDR,pry-1
CEPshDR,str-3
CEPshDR,smp-2
ABplppppp,nlp-7
ABplppppp,unc-17
ABplppppp,par-6
ABplppppp,gst-44
ABplppppp,rhgf-1
ABplppppp,cat-1
ABplppppp,spn-4
ABplppppp,mig-1
ABplppppp,psa-4
ABplppppp,nud-2
ABplppppp,pry-1
ABplppppp,str-3
ABplppppp,acy-1
ABplppppp,jkk-1
ABplppppp,smp-2
QL.a,par-6
QL.a,ceh-7
QL.a,unc-14
QL.a,nlp-27
QL.a,alh-9
QL.a,psa-1
QL.a,Y18D10A.23
QL.a,tcl-2
QL.a,ceh-43
TL.appaaaa,oga-1
TL.appaaaa,gar-2
TL.appaaaa,srg-13
TL.appaaaa,cha-1
AVEL,glr-3
AVEL,gon-4
AVEL,par-6
AVEL,gst-44
AVEL,rhgf-1
AVEL,vha-11
AVEL,cat-1
AVEL,psa-4
AVEL,nhr-22
AVEL,iff-2
AVEL,mes-1
AVEL,let-19
AVEL,ins-5
AVEL,F54C9.7
AVEL,pry-1
AVEL,str-3
AVEL,smp-2
AVEL,klp-18
AVEL,ace-3
SM1R.app,egl-5
SM1R.app,gar-2
MSpaaap,lin-12
MSpaaap,par-6
MSpaaap,gst-44
MSpaaap,rhgf-1
MSpaaap,cat-1
MSpaaap,spn-4
MSpaaap,mig-1
MSpaaap,psa-4
MSpaaap,pry-1
MSpaaap,str-3
MSpaaap,acy-1
MSpaaap,smp-2
I1R,lin-35
I1R,pkd-2
I1R,par-6
I1R,gst-44
I1R,rhgf-1
I1R,cat-1
I1R,ceh-20
I1R,psa-4
I1R,nhr-22
I1R,gar-1
I1R,eat-20
I1R,pry-1
I1R,str-3
I1R,che-13
I1R,H10E21.1
I1R,smp-2
I1R,mab-21
I1L,lin-35
I1L,pkd-2
I1L,par-6
I1L,gst-44
I1L,rhgf-1
I1L,cat-1
I1L,ceh-20
I1L,psa-4
I1L,nhr-22
I1L,gar-1
I1L,eat-20
I1L,pry-1
I1L,str-3
I1L,che-13
I1L,H10E21.1
I1L,smp-2
I1L,mab-21
TL.appaaap,oga-1
TL.appaaap,gar-2
TL.appaaap,srg-13
TL.appaaap,cha-1
AVER,glr-3
AVER,gon-4
AVER,par-6
AVER,gst-44
AVER,rhgf-1
AVER,vha-11
AVER,cat-1
AVER,psa-4
AVER,nhr-22
AVER,iff-2
AVER,mes-1
AVER,let-19
AVER,ins-5
AVER,F54C9.7
AVER,pry-1
AVER,str-3
AVER,smp-2
AVER,klp-18
AVER,ace-3
SM1R.apa,egl-5
SM1R.apa,gar-2
M.dr,odr-2
M.dr,nlp-10
M.dr,gcy-12
M.dr,tbx-8
M.dr,nfm-1
M.dr,tlp-1
Cappapp,nlp-7
Cappapp,par-6
Cappapp,gst-44
Cappapp,rhgf-1
Cappapp,cat-1
Cappapp,psa-4
Cappapp,nhr-22
Cappapp,mig-13
Cappapp,pry-1
Cappapp,str-3
Cappapp,ric-19
Cappapp,grd-6
Cappapp,smp-2
P10.paap,ggr-2
ABplppaaap,nlp-7
ABplppaaap,par-6
ABplppaaap,gst-44
ABplppaaap,rhgf-1
ABplppaaap,cat-1
ABplppaaap,spn-4
ABplppaaap,mig-1
ABplppaaap,psa-4
ABplppaaap,pry-1
ABplppaaap,str-3
ABplppaaap,jkk-1
ABplppaaap,smp-2
Cappapa,nlp-7
Cappapa,par-6
Cappapa,gst-44
Cappapa,rhgf-1
Cappapa,cat-1
Cappapa,psa-4
Cappapa,nhr-22
Cappapa,mig-13
Cappapa,pry-1
Cappapa,str-3
Cappapa,ric-19
Cappapa,grd-6
Cappapa,smp-2
P10.paaa,ggr-2
ABalaaapal,nlp-7
ABalaaapal,par-6
ABalaaapal,gst-44
ABalaaapal,rhgf-1
ABalaaapal,cat-1
ABalaaapal,spn-4
ABalaaapal,mig-1
ABalaaapal,psa-4
ABalaaapal,pry-1
ABalaaapal,str-3
ABalaaapal,smp-2
MSpaapaa,par-6
MSpaapaa,gst-44
MSpaapaa,rhgf-1
MSpaapaa,cat-1
MSpaapaa,spn-4
MSpaapaa,mig-1
MSpaapaa,psa-4
MSpaapaa,nhr-22
MSpaapaa,pry-1
MSpaapaa,str-3
MSpaapaa,smp-2
RIGL,mec-7
RIGL,glr-3
RIGL,ces-2
RIGL,par-6
RIGL,gst-44
RIGL,rhgf-1
RIGL,cat-1
RIGL,psa-4
RIGL,nhr-22
RIGL,daf-5
RIGL,pry-1
RIGL,str-3
RIGL,smp-2
RIGL,eat-16
MSpaapap,par-6
MSpaapap,gst-44
MSpaapap,rhgf-1
MSpaapap,cat-1
MSpaapap,spn-4
MSpaapap,mig-1
MSpaapap,psa-4
MSpaapap,nhr-22
MSpaapap,pry-1
MSpaapap,str-3
MSpaapap,smp-2
RIGR,mec-7
RIGR,glr-3
RIGR,ces-2
RIGR,par-6
RIGR,gst-44
RIGR,rhgf-1
RIGR,cat-1
RIGR,psa-4
RIGR,nhr-22
RIGR,daf-5
RIGR,pry-1
RIGR,str-3
RIGR,smp-2
RIGR,eat-16
ABalaaapar,nlp-7
ABalaaapar,par-6
ABalaaapar,gst-44
ABalaaapar,rhgf-1
ABalaaapar,cat-1
ABalaaapar,spn-4
ABalaaapar,mig-1
ABalaaapar,psa-4
ABalaaapar,nhr-22
ABalaaapar,pry-1
ABalaaapar,str-3
ABalaaapar,smp-2
ABaraap,nlp-7
ABaraap,par-6
ABaraap,gst-44
ABaraap,rhgf-1
ABaraap,spn-4
ABaraap,mig-1
ABaraap,psa-4
ABaraap,pry-1
ABaraap,str-3
ABaraap,smp-2
ABaraap,crt-1
ABaraap,nhr-85
AIBR,mec-7
AIBR,glr-3
AIBR,gon-4
AIBR,lev-11
AIBR,par-6
AIBR,gst-44
AIBR,rhgf-1
AIBR,cat-1
AIBR,psa-4
AIBR,nhr-22
AIBR,mes-1
AIBR,F54C9.7
AIBR,pry-1
AIBR,str-3
AIBR,smp-2
Cpaap,nlp-7
Cpaap,unc-17
Cpaap,par-6
Cpaap,gst-44
Cpaap,rhgf-1
Cpaap,cat-1
Cpaap,psa-4
Cpaap,pry-1
Cpaap,str-3
Cpaap,acy-1
Cpaap,smp-2
V5R.pppa,alh-9
ABarapapaapp,nlp-7
ABarapapaapp,par-6
ABarapapaapp,gst-44
ABarapapaapp,rhgf-1
ABarapapaapp,spn-4
ABarapapaapp,mig-1
ABarapapaapp,psa-4
ABarapapaapp,pry-1
ABarapapaapp,str-3
ABprppaaa,nlp-7
ABprppaaa,par-6
ABprppaaa,gst-44
ABprppaaa,rhgf-1
ABprppaaa,cat-1
ABprppaaa,spn-4
ABprppaaa,mig-1
ABprppaaa,psa-4
ABprppaaa,pry-1
ABprppaaa,str-3
ABprppaaa,acy-1
ABprppaaa,jkk-1
ABprppaaa,smp-2
ABprppaaa,nhr-85
MSaaappa,par-6
MSaaappa,gst-44
MSaaappa,rhgf-1
MSaaappa,cat-1
MSaaappa,spn-4
MSaaappa,mig-1
MSaaappa,psa-4
MSaaappa,nhr-22
MSaaappa,pry-1
MSaaappa,str-3
MSaaappa,smp-2
Cpaaa,nlp-7
Cpaaa,unc-17
Cpaaa,par-6
Cpaaa,gst-44
Cpaaa,rhgf-1
Cpaaa,cat-1
Cpaaa,psa-4
Cpaaa,pry-1
Cpaaa,str-3
Cpaaa,acy-1
Cpaaa,smp-2
AIBL,mec-7
AIBL,glr-3
AIBL,gon-4
AIBL,lev-11
AIBL,par-6
AIBL,gst-44
AIBL,rhgf-1
AIBL,cat-1
AIBL,psa-4
AIBL,nhr-22
AIBL,mes-1
AIBL,F54C9.7
AIBL,pry-1
AIBL,str-3
AIBL,smp-2
V5R.pp,alh-9
MSapp,hlh-2
MSapp,lin-12
MSapp,par-6
MSapp,gst-44
MSapp,rhgf-1
MSapp,spn-4
MSapp,mig-1
MSapp,psa-4
MSapp,pry-1
MSapp,str-3
MSapp,unc-97
MSapp,acy-1
MSapp,smp-2
MSapp,nhr-85
MSapp,bub-1
ABaraappp,nlp-7
ABaraappp,par-6
ABaraappp,gst-44
ABaraappp,rhgf-1
ABaraappp,cat-1
ABaraappp,spn-4
ABaraappp,mig-1
ABaraappp,psa-4
ABaraappp,pry-1
ABaraappp,str-3
ABaraappp,acy-1
ABaraappp,smp-2
ABaraappp,crt-1
ABaraappp,nhr-85
ABarpaaapp,nlp-7
ABarpaaapp,par-6
ABarpaaapp,gst-44
ABarpaaapp,rhgf-1
ABarpaaapp,cat-1
ABarpaaapp,spn-4
ABarpaaapp,mig-1
ABarpaaapp,psa-4
ABarpaaapp,pry-1
ABarpaaapp,str-3
ABarpaaapp,smp-2
e1VL,par-6
e1VL,tbb-4
e1VL,gst-44
e1VL,rhgf-1
e1VL,cat-1
e1VL,psa-4
e1VL,nhr-22
e1VL,pry-1
e1VL,str-3
e1VL,smp-2
SABVR,gcy-8
SABVR,par-6
SABVR,gst-44
SABVR,rhgf-1
SABVR,itr-1
SABVR,psa-4
SABVR,eor-1
SABVR,pry-1
SABVR,str-3
SABVR,rig-5
ABprpapapa,nlp-7
ABprpapapa,par-6
ABprpapapa,gst-44
ABprpapapa,rhgf-1
ABprpapapa,cat-1
ABprpapapa,spn-4
ABprpapapa,mig-1
ABprpapapa,psa-4
ABprpapapa,pry-1
ABprpapapa,str-3
ABprpapapa,jkk-1
ABprpapapa,smp-2
ABprpapapa,nhr-85
SABVL,gcy-8
SABVL,par-6
SABVL,gst-44
SABVL,rhgf-1
SABVL,itr-1
SABVL,psa-4
SABVL,eor-1
SABVL,pry-1
SABVL,str-3
SABVL,rig-5
e1VR,par-6
e1VR,tbb-4
e1VR,gst-44
e1VR,rhgf-1
e1VR,cat-1
e1VR,psa-4
e1VR,nhr-22
e1VR,pry-1
e1VR,str-3
e1VR,smp-2
ABarpaaapa,nlp-7
ABarpaaapa,par-6
ABarpaaapa,gst-44
ABarpaaapa,rhgf-1
ABarpaaapa,cat-1
ABarpaaapa,spn-4
ABarpaaapa,mig-1
ABarpaaapa,psa-4
ABarpaaapa,nhr-22
ABarpaaapa,pry-1
ABarpaaapa,str-3
ABarpaaapa,smp-2
V3R.pa,alh-9
V3R.pa,klp-16
V3R.pa,B0285.6
ABpraapaaaa,nlp-7
ABpraapaaaa,par-6
ABpraapaaaa,gst-44
ABpraapaaaa,rhgf-1
ABpraapaaaa,cat-1
ABpraapaaaa,spn-4
ABpraapaaaa,mig-1
ABpraapaaaa,psa-4
ABpraapaaaa,nhr-22
ABpraapaaaa,pry-1
ABpraapaaaa,str-3
ABpraapaaaa,jkk-1
ABpraapaaaa,smp-2
V6L.pp,alh-9
int7L,vab-7
int7L,nlp-7
int7L,par-6
int7L,gst-44
int7L,rhgf-1
int7L,cat-1
int7L,psa-4
int7L,nhr-22
int7L,pha-1
int7L,pry-1
int7L,str-3
int7L,smp-2
int7L,F42A10.3
int7L,nhr-23
ABprpppppaa,nlp-7
ABprpppppaa,unc-17
ABprpppppaa,par-6
ABprpppppaa,gst-44
ABprpppppaa,rhgf-1
ABprpppppaa,cat-1
ABprpppppaa,spn-4
ABprpppppaa,mig-1
ABprpppppaa,psa-4
ABprpppppaa,nhr-22
ABprpppppaa,pry-1
ABprpppppaa,str-3
ABprpppppaa,jkk-1
ABprpppppaa,smp-2
exc_gland,gcy-8
exc_gland,unc-25
exc_gland,par-6
exc_gland,gst-44
exc_gland,rhgf-1
exc_gland,cat-1
exc_gland,psa-4
exc_gland,nhr-22
exc_gland,psa-3
exc_gland,nlp-5
exc_gland,pry-1
exc_gland,str-3
exc_gland,kin-18
exc_gland,H10E21.1
exc_gland,smp-2
exc_gland,lov-1
exc_gland,dyn-1
V3R.pp,alh-9
V3R.pp,klp-16
V3R.pp,B0285.6
V1R.pap,alh-9
V1R.pap,klp-16
V1R.pap,B0285.6
V6L.pa,alh-9
ABplapapa,nlp-7
ABplapapa,par-6
ABplapapa,gst-44
ABplapapa,rhgf-1
ABplapapa,cat-1
ABplapapa,spn-4
ABplapapa,mig-1
ABplapapa,psa-4
ABplapapa,pry-1
ABplapapa,str-3
ABplapapa,acy-1
ABplapapa,jkk-1
ABplapapa,smp-2
Z4.aaaaapa,exp-1
MSpppa,lin-12
MSpppa,par-6
MSpppa,gst-44
MSpppa,rhgf-1
MSpppa,cat-1
MSpppa,spn-4
MSpppa,mig-1
MSpppa,psa-4
MSpppa,pry-1
MSpppa,str-3
MSpppa,acy-1
MSpppa,smp-2
MSpppp,lin-12
MSpppp,par-6
MSpppp,gst-44
MSpppp,rhgf-1
MSpppp,cat-1
MSpppp,spn-4
MSpppp,mig-1
MSpppp,psa-4
MSpppp,pry-1
MSpppp,str-3
MSpppp,acy-1
MSpppp,smp-2
V5R.pppp,alh-9
V5R.pppp,ver-2
V5R.pa,alh-9
ABplppppppp,nlp-7
ABplppppppp,unc-17
ABplppppppp,par-6
ABplppppppp,gst-44
ABplppppppp,rhgf-1
ABplppppppp,cat-1
ABplppppppp,spn-4
ABplppppppp,mig-1
ABplppppppp,psa-4
ABplppppppp,nhr-22
ABplppppppp,pry-1
ABplppppppp,str-3
ABplppppppp,jkk-1
ABplppppppp,smp-2
ABplpppapa,nlp-7
ABplpppapa,par-6
ABplpppapa,gst-44
ABplpppapa,rhgf-1
ABplpppapa,cat-1
ABplpppapa,spn-4
ABplpppapa,mig-1
ABplpppapa,psa-4
ABplpppapa,pry-1
ABplpppapa,str-3
ABplpppapa,jkk-1
ABplpppapa,smp-2
ABaraaaap,nlp-7
ABaraaaap,par-6
ABaraaaap,gst-44
ABaraaaap,rhgf-1
ABaraaaap,cat-1
ABaraaaap,spn-4
ABaraaaap,mig-1
ABaraaaap,psa-4
ABaraaaap,pry-1
ABaraaaap,str-3
ABaraaaap,acy-1
ABaraaaap,smp-2
ABaraaaap,crt-1
ABaraaaap,nhr-85
mc3DL,par-6
mc3DL,gst-44
mc3DL,rhgf-1
mc3DL,cat-1
mc3DL,psa-4
mc3DL,nhr-22
mc3DL,pry-1
mc3DL,str-3
mc3DL,smp-2
MSap,lin-12
MSap,unc-86
MSap,par-6
MSap,gst-44
MSap,rhgf-1
MSap,spn-4
MSap,mig-1
MSap,inx-4
MSap,psa-4
MSap,gcy-12
MSap,nlp-27
MSap,pry-1
MSap,str-3
MSap,ric-19
MSap,nhr-85
ABarappapa,nlp-7
ABarappapa,par-6
ABarappapa,gst-44
ABarappapa,rhgf-1
ABarappapa,cat-1
ABarappapa,spn-4
ABarappapa,mig-1
ABarappapa,psa-4
ABarappapa,nhr-22
ABarappapa,pry-1
ABarappapa,str-3
ABarappapa,smp-2
ABarappapa,nhr-85
R7AL,cnd-1
R7AL,pgp-3
R7AL,ceh-14
R7AL,clh-4
R7AL,hcp-1
R7AL,daf-7
R7AL,fax-1
R7AL,unc-5
R7AL,mec-10
R7AL,daf-3
R7AL,avr-15
R7AL,ooc-5
R7AL,unc-32
R7AL,exc-7
R7AL,del-1
R7AL,Y46G5A.4
R7AL,rpl-5
R7AL,hid-1
R7AL,ocr-1
R7AL,C32B5.6
R7AL,lon-3
R7AL,cog-1
R7AL,gsp-4
R7AL,sax-3
R7AL,wrm-1
R7AL,nlp-8
R7AL,tax-6
R7AL,cha-1
R7AL,ceh-28
ABaraaaaa,nlp-7
ABaraaaaa,par-6
ABaraaaaa,gst-44
ABaraaaaa,rhgf-1
ABaraaaaa,cat-1
ABaraaaaa,spn-4
ABaraaaaa,mig-1
ABaraaaaa,psa-4
ABaraaaaa,pry-1
ABaraaaaa,str-3
ABaraaaaa,acy-1
ABaraaaaa,smp-2
ABaraaaaa,crt-1
ABaraaaaa,nhr-85
MSaa,lin-12
MSaa,unc-86
MSaa,par-6
MSaa,gst-44
MSaa,rhgf-1
MSaa,spn-4
MSaa,mig-1
MSaa,inx-4
MSaa,psa-4
MSaa,gcy-12
MSaa,nlp-27
MSaa,pry-1
MSaa,str-3
MSaa,ric-19
MSaa,nhr-85
ABarappapp,nlp-7
ABarappapp,par-6
ABarappapp,gst-44
ABarappapp,rhgf-1
ABarappapp,cat-1
ABarappapp,spn-4
ABarappapp,mig-1
ABarappapp,psa-4
ABarappapp,nhr-22
ABarappapp,pry-1
ABarappapp,str-3
ABarappapp,smp-2
ABarappapp,nhr-85
ABalaapppap,nlp-7
ABalaapppap,par-6
ABalaapppap,gst-44
ABalaapppap,rhgf-1
ABalaapppap,cat-1
ABalaapppap,spn-4
ABalaapppap,mig-1
ABalaapppap,psa-4
ABalaapppap,nhr-22
ABalaapppap,pry-1
ABalaapppap,str-3
ABalaapppap,smp-2
ABplaapppp,osm-10
ABplaapppp,nlp-7
ABplaapppp,par-6
ABplaapppp,gst-44
ABplaapppp,rhgf-1
ABplaapppp,cat-1
ABplaapppp,spn-4
ABplaapppp,mig-1
ABplaapppp,psa-4
ABplaapppp,nhr-22
ABplaapppp,pry-1
ABplaapppp,str-3
ABplaapppp,sel-8
ABplaapppp,jkk-1
ABplaapppp,smp-2
ABplaapppp,nhr-85
ABprppaaaap,nlp-7
ABprppaaaap,par-6
ABprppaaaap,gst-44
ABprppaaaap,rhgf-1
ABprppaaaap,cat-1
ABprppaaaap,spn-4
ABprppaaaap,mig-1
ABprppaaaap,psa-4
ABprppaaaap,nhr-22
ABprppaaaap,pry-1
ABprppaaaap,str-3
ABprppaaaap,jkk-1
ABprppaaaap,smp-2
SM2L.pa,egl-5
SM2L.pa,gar-2
ABplaapapppp,nlp-7
ABplaapapppp,par-6
ABplaapapppp,gst-44
ABplaapapppp,rhgf-1
ABplaapapppp,spn-4
ABplaapapppp,mig-1
ABplaapapppp,psa-4
ABplaapapppp,pry-1
ABplaapapppp,str-3
ABplaapapppp,jkk-1
ABplaapppa,nlp-7
ABplaapppa,par-6
ABplaapppa,gst-44
ABplaapppa,rhgf-1
ABplaapppa,cat-1
ABplaapppa,spn-4
ABplaapppa,mig-1
ABplaapppa,psa-4
ABplaapppa,nhr-22
ABplaapppa,pry-1
ABplaapppa,str-3
ABplaapppa,jkk-1
ABplaapppa,smp-2
ABplaapppa,nhr-85
SM3L.ap,egl-5
SM3L.ap,gar-2
ABplapapp,nlp-7
ABplapapp,par-6
ABplapapp,gst-44
ABplapapp,rhgf-1
ABplapapp,cat-1
ABplapapp,spn-4
ABplapapp,mig-1
ABplapapp,psa-4
ABplapapp,pry-1
ABplapapp,str-3
ABplapapp,acy-1
ABplapapp,jkk-1
ABplapapp,smp-2
VA1,elt-6
VA1,eor-1
V6L.papapaap,alh-9
SM2R.p,egl-5
SM2R.p,gar-2
ABarpppapp,nlp-7
ABarpppapp,par-6
ABarpppapp,gst-44
ABarpppapp,rhgf-1
ABarpppapp,cat-1
ABarpppapp,spn-4
ABarpppapp,mig-1
ABarpppapp,psa-4
ABarpppapp,nhr-22
ABarpppapp,pry-1
ABarpppapp,str-3
ABarpppapp,smp-2
ABalpppaap,nlp-7
ABalpppaap,par-6
ABalpppaap,gst-44
ABalpppaap,rhgf-1
ABalpppaap,cat-1
ABalpppaap,spn-4
ABalpppaap,mig-1
ABalpppaap,psa-4
ABalpppaap,nhr-22
ABalpppaap,pry-1
ABalpppaap,str-3
ABalpppaap,smp-2
V3L.pppp,alh-9
V3L.pppp,ver-2
V3L.pppp,B0285.6
SM2R.a,egl-5
SM2R.a,gar-2
ABarpppapa,osm-10
ABarpppapa,nlp-7
ABarpppapa,par-6
ABarpppapa,gst-44
ABarpppapa,rhgf-1
ABarpppapa,cat-1
ABarpppapa,spn-4
ABarpppapa,mig-1
ABarpppapa,psa-4
ABarpppapa,nhr-22
ABarpppapa,pry-1
ABarpppapa,str-3
ABarpppapa,sel-8
ABarpppapa,smp-2
V3L.pppa,alh-9
V3L.pppa,B0285.6
ABalpppaaa,nlp-7
ABalpppaaa,par-6
ABalpppaaa,gst-44
ABalpppaaa,rhgf-1
ABalpppaaa,cat-1
ABalpppaaa,spn-4
ABalpppaaa,mig-1
ABalpppaaa,psa-4
ABalpppaaa,nhr-22
ABalpppaaa,pry-1
ABalpppaaa,str-3
ABalpppaaa,smp-2
